file,review_method,review_focus,finding_ids,sha256,status,verification
db/migrations/010_milestone9_notifications_whatsapp.sql,Full SQL source review; not applied,"Migration 010: milestone9 notifications whatsapp; Up/Down, policies and later definitions",,6fc68ce73a56114d3fdae00e2648fd3faefc962b57e962a4f8c2d2131bd7cd6b,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/011_milestone10_reporting_history.sql,Full SQL source review; not applied,"Migration 011: milestone10 reporting history; Up/Down, policies and later definitions",,6ea1d63ecff8a6d4aa9e7477d5ee75fbbaec12860839fac30cddb95cbd475b42,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/012_milestone11_provider_adapter.sql,Full SQL source review; not applied,"Migration 012: milestone11 provider adapter; Up/Down, policies and later definitions",,7f324dd5c7d5d4952419e215a791c7e0bc3973aec2aaced4c495590596b7e8df,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/013_milestone12_release_readiness.sql,Full SQL source review; not applied,"Migration 013: milestone12 release readiness; Up/Down, policies and later definitions",,987c2c87a70d2a2ceeae9cbba9ffef3072a2644c74ae38ed354d6e500ca048dc,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/014_river_jobs_schema.sql,Full SQL source review; not applied,"Migration 014: river jobs schema; Up/Down, policies and later definitions",,6f3cd97fd865790b0944fe2ebea32b210b31df86afa5272ac99594258f65a2b1,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/015_missing_domain_tables.sql,Full SQL source review; not applied,"Migration 015: missing domain tables; Up/Down, policies and later definitions",,e7dc1f5b50aaa736233bbdee35d7bc99c28f26e51a57cb94fb0e9ca0248e9f40,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/016_financial_core_hardening.sql,Full SQL source review; not applied,"Migration 016: financial core hardening; Up/Down, policies and later definitions",,713b02f2899c032fc45093fb5295e9105dd77def5e7155d4851c47836ba63dae,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/017_worker_operations.sql,Full SQL source review; not applied,"Migration 017: worker operations; Up/Down, policies and later definitions",,681b1f4b09eb4eeff6a5019cbc437ed301019adeadaeada3045d355a8523be04,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/018_security_hardening.sql,Full SQL source review; not applied,"Migration 018: security hardening; Up/Down, policies and later definitions",,e07a6f0582f42a566ece22f788c62060343388c94b5ddde2d2c80ae846f25ece,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/019_runtime_role_policies.sql,Full SQL source review; not applied,"Migration 019: runtime role policies; Up/Down, policies and later definitions",,a75ce580ffcbe53a3c0bc5b4e7f5259e9ed564b0e7ee71d8656f58ad756bf629,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/020_auth_persistence_primitives.sql,Full SQL source review; not applied,"Migration 020: auth persistence primitives; Up/Down, policies and later definitions",,d292bc0501de59c662f2bf1a60072828fcdd507310efd3fb70e2648f61735e7c,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/021_organization_persistence_primitives.sql,Full SQL source review; not applied,"Migration 021: organization persistence primitives; Up/Down, policies and later definitions",,9f5571a2b126a019152baa0574e03427b2bd44cf9903840cd8e3a793ba2099f3,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/022_network_and_mandates.sql,Full SQL source review; not applied,"Migration 022: network and mandates; Up/Down, policies and later definitions",,14d7db9371d1db7d7043cd7abb6f02ab32ed4f40e232d3d66c7c3a6e0cbca345,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/023_buyer_persistence_primitives.sql,Full SQL source review; not applied,"Migration 023: buyer persistence primitives; Up/Down, policies and later definitions",,572a944e3880848ac4cc199940dabe1cd1099b23d34d507a679d9ee659bfd314,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/024_credit_aggregate_snapshots.sql,Full SQL source review; not applied,"Migration 024: credit aggregate snapshots; Up/Down, policies and later definitions",,840e8273151579d28237e9ea144ef6ce82f0d5bd6f8c60f68300b4af6c11e829,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/025_mandate_lookup_function.sql,Full SQL source review; not applied,"Migration 025: mandate lookup function; Up/Down, policies and later definitions",,435cd367258c2a041e1276d6512afc2e0e070635ec234fe96f865eab1a2c981a,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/026_mandate_lookup_owner.sql,Full SQL source review; not applied,"Migration 026: mandate lookup owner; Up/Down, policies and later definitions",,770fe2f687772c9b8df85f3b2e61288d88e442ced42a35e4cb326c3483d86c49,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/027_credit_snapshot_tenant_functions.sql,Full SQL source review; not applied,"Migration 027: credit snapshot tenant functions; Up/Down, policies and later definitions",,79ce46e2915d21c3f44507f9e05cc29d21ac73306222f726f4e16d0e2014a739,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/028_outbox_processing_lease.sql,Full SQL source review; not applied,"Migration 028: outbox processing lease; Up/Down, policies and later definitions",,fab243c3cd2daaef2657a67492ca9069c2d784e57d2636b98a306748ce194c13,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/029_runtime_domain_repository_policies.sql,Full SQL source review; not applied,"Migration 029: runtime domain repository policies; Up/Down, policies and later definitions",,32a696a3696bb42221b4371750d5965ed7ab7fc808a52df824b03ead0ade03c7,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/030_schedule_repository_runtime_policy.sql,Full SQL source review; not applied,"Migration 030: schedule repository runtime policy; Up/Down, policies and later definitions",,1396d5066a40a3c9d2a610e7137fa96e470a31adebd8531b67166e85107df3f3,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/031_atomic_payment_repository.sql,Full SQL source review; not applied,"Migration 031: atomic payment repository; Up/Down, policies and later definitions",,54631eedf7c7c96b1f056547444069df69ad94ce7f89fd63f2b5c1c088788bc1,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/032_supplier_customer_directory.sql,Full SQL source review; not applied,"Migration 032: supplier customer directory; Up/Down, policies and later definitions",,462d70c170b05fd87ed6782c1d1fc7f374e615c21675cd80a67303387dc698d7,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/033_fix_ledger_balance_trigger.sql,Full SQL source review; not applied,"Migration 033: fix ledger balance trigger; Up/Down, policies and later definitions",,7510bc20f59c5601e686ee357305d3643d3c7bbb73123501289c374940aa4785,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/034_trade_line_runtime_policy.sql,Full SQL source review; not applied,"Migration 034: trade line runtime policy; Up/Down, policies and later definitions",,1ec561376634d75bac089218a3a9ef69ed4f08b757d99e47dc412ef5ff91cc75,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/035_collection_aggregate_repository.sql,Full SQL source review; not applied,"Migration 035: collection aggregate repository; Up/Down, policies and later definitions",,441ec26f5ab23077b7d372367be51d936c31388f7d586e3b145ea7c3f5a38213,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/036_corrections_runtime_policy.sql,Full SQL source review; not applied,"Migration 036: corrections runtime policy; Up/Down, policies and later definitions",,044b4511cdec4d3f7ca942a6b3a1b01e0c2261abce5e2ea2726b4fffc2188787,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/037_dispute_operation_runtime_policy.sql,Full SQL source review; not applied,"Migration 037: dispute operation runtime policy; Up/Down, policies and later definitions",,9c96b225259a4edd25da3cf2423795a5cc0f156fc6838e284ba28398287435b9,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/038_notification_delivery_repository.sql,Full SQL source review; not applied,"Migration 038: notification delivery repository; Up/Down, policies and later definitions",,a5e6cf6b59a31d0e9b1bf0993a5062a3652e24702b7f50c2aaa36e03fa19f603,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/039_analytics_runtime_policy.sql,Full SQL source review; not applied,"Migration 039: analytics runtime policy; Up/Down, policies and later definitions",,f917d5cc714df324e7d58f1d6e718b2d6a81cf0f78ed41d4158e24770948042a,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/040_messaging_runtime_policy.sql,Full SQL source review; not applied,"Migration 040: messaging runtime policy; Up/Down, policies and later definitions",,8f8f4080291765d01cc2d29c398581aeeb431b2bf4c315281e2701564b2c90fe,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/041_notification_delivery_recovery.sql,Full SQL source review; not applied,"Migration 041: notification delivery recovery; Up/Down, policies and later definitions",,fdd6458ede311cf45b59718ceedd46fd3525a7f019b2333aa5ce6610af7cd76d,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/042_platform_operations_roles.sql,Full SQL source review; not applied,"Migration 042: platform operations roles; Up/Down, policies and later definitions",,24f8e0b50e8e286a95a462edc807dc7fa862502ff8a11f63bd12ab98d8db5deb,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/043_fix_auth_user_upsert_ambiguity.sql,Full SQL source review; not applied,"Migration 043: fix auth user upsert ambiguity; Up/Down, policies and later definitions",,18f577f4c3978cecfc131ecb0772763ccf5cfdd63da498adc91e9bdc05ac559c,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/044_payment_sources_and_claims.sql,Full SQL source review; not applied,"Migration 044: payment sources and claims; Up/Down, policies and later definitions",,53c5b652e38726d269b67689698f6b78f4e68e15883a0513d4c018cee1f24204,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/045_trade_line_mandate_integrity.sql,Full SQL source review; not applied,"Migration 045: trade line mandate integrity; Up/Down, policies and later definitions",,7abaeb447ebd6a3eb33bfcc2d474292d697d6fd7e97764e589cf0d580d484bab,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/046_trade_line_drawdown_lifecycle.sql,Full SQL source review; not applied,"Migration 046: trade line drawdown lifecycle; Up/Down, policies and later definitions",,8cf25dd700c33c9dec791e682fd3a1846b2a68bacc62dcffdfdffc5f7bfef962,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/047_supplier_onboarding_readiness.sql,Full SQL source review; not applied,"Migration 047: supplier onboarding readiness; Up/Down, policies and later definitions",,3dc5e5e7d31be673f8cc0bb8272e7b6e93b169e1e379bdf4bbeb8b3ec5507d79,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/048_user_control_and_privacy.sql,Full SQL source review; not applied,"Migration 048: user control and privacy; Up/Down, policies and later definitions",,79e5045f79a1056752bab49058791a6a1b0bbadc51efa61bffefc3439c36ea10,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/049_operations_controls.sql,Full SQL source review; not applied,"Migration 049: operations controls; Up/Down, policies and later definitions",,25cc20fe3450280ccf6245c13a24be19b4fe4fbc373947eb0cdf0abf67276450,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/050_product_analytics.sql,Full SQL source review; not applied,"Migration 050: product analytics; Up/Down, policies and later definitions",,728eb6570142cbb05851c20a3be9cae1aaa8e15b99b168149a304d8a2c3f326a,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/051_analytics_contract_completion.sql,Full SQL source review; not applied,"Migration 051: analytics contract completion; Up/Down, policies and later definitions",,78cb60739a5e7dc56491b47bd96458d9ae9779ff352dd232f1a545bb88350615,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/052_sweep_collection_safety.sql,Full SQL source review; not applied,"Migration 052: sweep collection safety; Up/Down, policies and later definitions",,3399631bf286977b7e506d5f257db4aba3f1ecf034371e9e6ac2431dcb8c20b5,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/053_payment_reversal_integrity.sql,Full SQL source review; not applied,"Migration 053: payment reversal integrity; Up/Down, policies and later definitions",,8b7fbfe48330132b8bef08b110a8fc8afad539af4512ff3eefc4ebdcc9cc1fb5,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/054_collection_eligibility_lock.sql,Full SQL source review; not applied,"Migration 054: collection eligibility lock; Up/Down, policies and later definitions",,13181a8d7c490fb154b035d9ee7b2a3f85d7732f3e129bca44e8d55d088c9286,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/055_durable_financial_notices.sql,Full SQL source review; not applied,"Migration 055: durable financial notices; Up/Down, policies and later definitions",,ab6783eddf06fd3d02dd26c35ae12cfc4ad314720760bdae3946545d4401f2e8,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/056_financial_reconciliation.sql,Full SQL source review; not applied,"Migration 056: financial reconciliation; Up/Down, policies and later definitions",,45c71c9456f9a257c40bfa05a18ca565eab6d1652a164679d5a88588956d5b57,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/057_collection_notice_delivery.sql,Full SQL source review; not applied,"Migration 057: collection notice delivery; Up/Down, policies and later definitions",,b91974a3889c2f7354de7b989a0a9e05554fac3b53d33e21f0a580c51242e63e,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/058_operations_intent_integrity.sql,Full SQL source review; not applied,"Migration 058: operations intent integrity; Up/Down, policies and later definitions",,396af2de10e84d14036fff0a24409619bd0a0c0d0b4bec076c24a8b1eec5563a,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/059_adjustment_notification_evidence.sql,Full SQL source review; not applied,"Migration 059: adjustment notification evidence; Up/Down, policies and later definitions",,d3449759f1e8acce94da46016b2ab495655dfa8c50b594f47b3049ad44288eac,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/060_provider_reversal_review.sql,Full SQL source review; not applied,"Migration 060: provider reversal review; Up/Down, policies and later definitions",,26e84c100cca5f7d1d81a76c681bfeb14e725a2250672550363b007b10d2960f,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/061_business_policies.sql,Full SQL source review; not applied,"Migration 061: business policies; Up/Down, policies and later definitions",,07e51b89cbfba59cbdd56606a655dc51d09748ebd91a8ca3b0eb6229c364a8e6,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/062_policy_enforcement_and_fee_terms.sql,Full SQL source review; not applied,"Migration 062: policy enforcement and fee terms; Up/Down, policies and later definitions",,1013866f1ef436761fd058481d7c95827e875c7c8172ea4165326bdff7df4a60,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/063_preserve_existing_commitments.sql,Full SQL source review; not applied,"Migration 063: preserve existing commitments; Up/Down, policies and later definitions",,6b052f4437b2fee3014f5d900550ff90cd277dfe2189841270cab22aa7889527,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/064_admin_workflows.sql,Full SQL source review; not applied,"Migration 064: admin workflows; Up/Down, policies and later definitions",,2427a5778ba91466b0ce01f645ab0a19ee7530cc430cb5a3623d1b3e16fb05d0,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/065_admin_attention_details.sql,Full SQL source review; not applied,"Migration 065: admin attention details; Up/Down, policies and later definitions",,630f3ae5e93948b255f78e5e6fc92e501ca01b2c31aaf2ebf71b056404bf3888,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/066_admin_support_review_queue.sql,Full SQL source review; not applied,"Migration 066: admin support review queue; Up/Down, policies and later definitions",,79a816edf74c6050e1d4ead567cf4deeef9d09fd643f34832332b7b6db3798ec,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/067_canonical_phone_identifiers.sql,Full SQL source review; not applied,"Migration 067: canonical phone identifiers; Up/Down, policies and later definitions",,bc3e7ae023aca19c1762461d54ebf20ee0b8278fc0454c1c110abd81752138c2,inspected; no separate finding recorded,Not executed; static audit only
db/migrations/068_session_idle_and_mfa_throttle.sql,Full SQL source review; not applied,"Migration 068: session idle and mfa throttle; Up/Down, policies and later definitions",,685a962f570760a5a836711a773559e981d3857e9f312ea5f88c5ecead6f0413,inspected; no separate finding recorded,Not executed; static audit only
