file,bytes,lines,sha256,review_depth,findings
.github/workflows/phase4-provider-verification.yml,4819,125,c953a211f206cc043d2b2c40e9a6819327b92acc26556f7693c7633b0a2fa14e,read-in-full,
.github/workflows/phase5-production-assurance.yml,8570,174,0ce79bd30286de002391ae28028d11ed7c2af4a914e9ca439932f254e8971e13,read-in-full,
.github/workflows/phase6-context-audit.yml,527,23,fddcb943a628bf3d65f59d45cb636187e50cdf35e1dd0c909eef666897b24ecb,read-in-full,
.github/workflows/product-audit.yml,2002,56,b29cf3155b1c2f4709b00b6e352aade0c3e1463bbe41ff34880f0afb2f2db34c,read-in-full,
.gitignore,599,46,38bc48e731183792553a0865ef72518930a3d19382347747fb9a82b967fccf60,read-in-full,
.go-version,7,1,a90ffbb66539d182e63c702902d74fe39f1c24ef9de746b2b756b856d1ccffba,not-reviewed,
.golangci.yml,245,19,bdea0d04e06eaab6cc20a91556d749ad2b57ba9cc170ff4fb9237af5db19326e,read-in-full,
.node-version,9,2,423b5a2d829f35f2b534f93ad6ae9a59ac2b67fa09e069c704c26c0e435b316f,not-reviewed,
.pnpm-version,9,2,148e8c8cd9a8711efac1e9279f319d9d7f2e9657b20f2976f06ddfc328b9377c,not-reviewed,
CHANGELOG.md,29110,378,8b3540cf01e85dd3a8a5b8d47963651ded3949ad98a0c31a5ff2666d7bbab077,not-reviewed,
IMPLEMENTATION_PLAN.md,15877,206,6a8c0c2c52b2789d9bd851f47f696c1ae61fd567e9d4ab5410bd146f7e72dfde,not-reviewed,
IMPLEMENTATION_STATUS.md,40023,498,6b2dac0513be8c3fc49eafb92dabee163e779bf8d383b63c0bdecd038cc61963,not-reviewed,
KREDIT-CODE-AUDIT.md,98917,916,050356645060178bcc41fdeec764e21cb52f11f1673754feefbd4ed0301505ff,not-reviewed,
KREDIT-LAUNCH-HANDOVER.md,15063,303,a345e3cc66949454a9fdb386c6e552e2e8b3f7330f6f2ef937a7d6b2adf271fa,not-reviewed,
KREDIT-TEST-FIXES-ROUND-2.md,6853,151,525f4f1747edbcc00f5e8cf5f30b7b6ad7583932a55849d37c1b118ab969efb2,not-reviewed,
KREDIT-TEST-FIXES.md,9537,184,32a8f15b897802de872df27f229e877ea339eacb9fe0b43f148fc79ec4112f7d,not-reviewed,
Kredit_Local_Launch_Master_Prompt_v2_2026-09-07.md,79406,549,d9624bf18767443c7b87a66cb78633b9f57ca89220b29f997e6a73644f761d29,not-reviewed,
README.local.md,623,13,e00a780169bbe3b75207382e6398ea8bca61be78880d9180a72fc5b9d3b16af6,not-reviewed,
README.md,148114,5405,7ab8b4f24edb30b690e72b8a2eb71e99f24dee31d83aa658a473a1f65e521b00,not-reviewed,
SECURITY.md,1543,32,b6896156fee300ea36488d8f24249cc7ec24f66080149425ae2961190fd2cc1a,not-reviewed,
Taskfile.yml,2746,143,976afdbafd4a2a4e475021d81fada4bb35f55872639f0ea2d2fa37f070da90fd,read-in-full,
api/openapi.yaml,270756,6675,fcd23360123aee1efbbc01f0790dd36d909e3e4cb253972238ed3b1b528df72d,swept,
cmd/api/main.go,4009,128,72bb73edef30e8d81446539adb69f10efc892e87038872f3c865fce0c8339517,read-in-full,
cmd/api/main_test.go,2109,63,3e7cb8f5f38044f6a42f76abd98e59d7cff3b31ac56f4c0d801bc41d965d4eec,read-in-full,
cmd/backup-r2/archive.go,5425,200,6c9009f91356397b2b0565f2e4fb7bad467660b2a16756ed05bc0216401a3643,swept,
cmd/backup-r2/archive_test.go,6300,199,c244b907e4d429551888db8c78f7de470f7f975f115314b4111fc6d2bdd4c6aa,swept,
cmd/backup-r2/main.go,5032,115,58f6838f737308da0c92d0f442c59e2254f41ca1750a42d8236fa39f61671cf1,swept,
cmd/bootstrap-owner/main.go,4947,141,3697f5359a6314abd241ffb23699184dc37952433ec8865beb6600c51ecdba4f,swept,
cmd/bootstrap-owner/main_test.go,2158,59,f54f0ba70e98f7572ff9c7b91a238b8a77f9f84ccc976f116abc55aed1dfe7a9,swept,
cmd/configcheck/main.go,1375,46,05be9f1e756c81a8f852d569c7e1482ac86ba74f5ca0667246fd0d54cca6fa16,swept,
cmd/configcheck/main_test.go,540,19,fc3d7499f64f560596a8e4d8b9f30de85e65210f4bb24bbea63b5897b8ddbec8,swept,
cmd/migrate/main.go,2895,97,ef0f98d62315d13ae39abfb6c2064732c7489eb1c89e4a07ff538e56ff368db6,swept,
cmd/migrate/main_test.go,359,12,ffc184d2433a337995691e8b52f8f1fadd2755e56c8998e3f668fdbf6b546c82,swept,
cmd/migrate/runtime_roles.sql,789,15,d52a6115997c4b0957b15c2a0a9bd6f33ca201de0baaa6d31b964fb61c684d50,swept,
cmd/provider-simulator/main.go,12620,398,adf4b1417475adfbfb0b0257ef6b960ab60ea2661687628875e1c400c0a8c61d,swept,
cmd/provider-simulator/main_test.go,7621,183,b54b4c6f13f8eaa54c015cea1932be754c595a6782dcba4b09e0a08b9fe62e06,swept,
cmd/reconcile/main.go,1191,55,411e17bb6d6564521fc884dfeb4c27e5a08b0020b56e07484ace4d0ab7194d2b,swept,
cmd/reconcile/main_test.go,711,27,762b439db644e39de1f7c6b7ea12157be35f23e205d5d74dca31a3229d67cdcb,swept,
cmd/seed/main.go,1026,47,1dd553663628cf5551c04959bd710b6b33deecd3d7cbf27b27d23afc18687e86,swept,
cmd/seed/main_test.go,612,29,ce5951811b5dbfa1792389d4462188465ef919653a9802dd50ea856ee4dbc0eb,swept,
cmd/worker/main.go,11760,317,fc7ef85ed1258b058afec27070fb935be90a84ba5d066df1901e9774db6bdc13,read-in-full,A2-014
cmd/worker/main_test.go,2084,66,94c81e805ba8bed55852fc99b65c70a6f04ccf50c905c13b558f0681e35677bc,read-in-full,
db/migrations/001_initial.sql,1305,42,a65395da301cd356eb0b9f5d367522e8e252be8c2668728147981e0657d8954f,swept,
db/migrations/002_milestone1_auth_org.sql,9344,192,185630a21d73ad76e9843652bf29d4bf8772481ac2d75038ef8b0125d85666cd,swept,
db/migrations/003_milestone2_buyers_identity.sql,8510,170,a30afc81e5ee961477aac0b458d0022c761b8d6195024fac2bb258f5cc61fc19,swept,
db/migrations/004_milestone3_credit_ledger.sql,5832,29,0910dcc5f2f3fb09e94d240913faa6e71eb40d822eed7516c46b8678d7b46766,swept,
db/migrations/005_milestone4_payments.sql,3830,71,62538a8e3be4dfc05f136d9afe192fa6a8ed75d4b53e585f3e294b8d4cc2cf76,swept,
db/migrations/006_milestone5_schedules.sql,2421,37,33b4911a0402ad6c8145a9c8dea87abcc1ff048190e4050a718f2c2ddbe02cc2,swept,
db/migrations/007_milestone6_trade_lines.sql,3147,58,617e9b61767de34442a048f76c7c7d45ef9112c142d62d7833373d6a1eedb2f6,swept,
db/migrations/008_milestone7_collections.sql,2666,47,a1cf19ce341a1705b95c23c2bab04c25653175cda2ae90935b8bdd70bb4caba4,swept,
db/migrations/009_milestone8_disputes_operations.sql,3156,60,bd73d2a615ae0f3ffece074afb522c5500631317ae8a8824bb3d8259cac807c0,swept,A2-006
db/migrations/010_milestone9_notifications_whatsapp.sql,2426,58,6fc68ce73a56114d3fdae00e2648fd3faefc962b57e962a4f8c2d2131bd7cd6b,swept,
db/migrations/011_milestone10_reporting_history.sql,2014,40,6ea1d63ecff8a6d4aa9e7477d5ee75fbbaec12860839fac30cddb95cbd475b42,swept,
db/migrations/012_milestone11_provider_adapter.sql,1889,43,7f324dd5c7d5d4952419e215a791c7e0bc3973aec2aaced4c495590596b7e8df,swept,
db/migrations/013_milestone12_release_readiness.sql,1741,36,987c2c87a70d2a2ceeae9cbba9ffef3072a2644c74ae38ed354d6e500ca048dc,swept,
db/migrations/014_river_jobs_schema.sql,99,5,6f3cd97fd865790b0944fe2ebea32b210b31df86afa5272ac99594258f65a2b1,swept,
db/migrations/015_missing_domain_tables.sql,3651,83,e7dc1f5b50aaa736233bbdee35d7bc99c28f26e51a57cb94fb0e9ca0248e9f40,swept,
db/migrations/016_financial_core_hardening.sql,3435,79,713b02f2899c032fc45093fb5295e9105dd77def5e7155d4851c47836ba63dae,swept,
db/migrations/017_worker_operations.sql,1498,37,681b1f4b09eb4eeff6a5019cbc437ed301019adeadaeada3045d355a8523be04,swept,
db/migrations/018_security_hardening.sql,1180,30,e07a6f0582f42a566ece22f788c62060343388c94b5ddde2d2c80ae846f25ece,swept,
db/migrations/019_runtime_role_policies.sql,3059,51,a75ce580ffcbe53a3c0bc5b4e7f5259e9ed564b0e7ee71d8656f58ad756bf629,swept,
db/migrations/020_auth_persistence_primitives.sql,4636,120,d292bc0501de59c662f2bf1a60072828fcdd507310efd3fb70e2648f61735e7c,swept,
db/migrations/021_organization_persistence_primitives.sql,828,30,9f5571a2b126a019152baa0574e03427b2bd44cf9903840cd8e3a793ba2099f3,swept,
db/migrations/022_network_and_mandates.sql,4500,83,14d7db9371d1db7d7043cd7abb6f02ab32ed4f40e232d3d66c7c3a6e0cbca345,swept,
db/migrations/023_buyer_persistence_primitives.sql,2465,80,572a944e3880848ac4cc199940dabe1cd1099b23d34d507a679d9ee659bfd314,swept,
db/migrations/024_credit_aggregate_snapshots.sql,2716,67,840e8273151579d28237e9ea144ef6ce82f0d5bd6f8c60f68300b4af6c11e829,swept,
db/migrations/025_mandate_lookup_function.sql,1369,42,435cd367258c2a041e1276d6512afc2e0e070635ec234fe96f865eab1a2c981a,swept,
db/migrations/026_mandate_lookup_owner.sql,2365,77,770fe2f687772c9b8df85f3b2e61288d88e442ced42a35e4cb326c3483d86c49,swept,
db/migrations/027_credit_snapshot_tenant_functions.sql,1913,65,79ce46e2915d21c3f44507f9e05cc29d21ac73306222f726f4e16d0e2014a739,swept,
db/migrations/028_outbox_processing_lease.sql,612,17,fab243c3cd2daaef2657a67492ca9069c2d784e57d2636b98a306748ce194c13,swept,
db/migrations/029_runtime_domain_repository_policies.sql,1488,28,32a696a3696bb42221b4371750d5965ed7ab7fc808a52df824b03ead0ade03c7,swept,A2-006
db/migrations/030_schedule_repository_runtime_policy.sql,1107,21,1396d5066a40a3c9d2a610e7137fa96e470a31adebd8531b67166e85107df3f3,swept,
db/migrations/031_atomic_payment_repository.sql,2824,59,54631eedf7c7c96b1f056547444069df69ad94ce7f89fd63f2b5c1c088788bc1,swept,
db/migrations/032_supplier_customer_directory.sql,1136,40,462d70c170b05fd87ed6782c1d1fc7f374e615c21675cd80a67303387dc698d7,swept,
db/migrations/033_fix_ledger_balance_trigger.sql,920,28,7510bc20f59c5601e686ee357305d3643d3c7bbb73123501289c374940aa4785,swept,
db/migrations/034_trade_line_runtime_policy.sql,1182,14,1ec561376634d75bac089218a3a9ef69ed4f08b757d99e47dc412ef5ff91cc75,swept,
db/migrations/035_collection_aggregate_repository.sql,2289,34,441ec26f5ab23077b7d372367be51d936c31388f7d586e3b145ea7c3f5a38213,swept,
db/migrations/036_corrections_runtime_policy.sql,737,13,044b4511cdec4d3f7ca942a6b3a1b01e0c2261abce5e2ea2726b4fffc2188787,swept,
db/migrations/037_dispute_operation_runtime_policy.sql,1355,23,9c96b225259a4edd25da3cf2423795a5cc0f156fc6838e284ba28398287435b9,swept,A2-006
db/migrations/038_notification_delivery_repository.sql,1667,19,a5e6cf6b59a31d0e9b1bf0993a5062a3652e24702b7f50c2aaa36e03fa19f603,swept,
db/migrations/039_analytics_runtime_policy.sql,352,6,f917d5cc714df324e7d58f1d6e718b2d6a81cf0f78ed41d4158e24770948042a,swept,
db/migrations/040_messaging_runtime_policy.sql,352,6,8f8f4080291765d01cc2d29c398581aeeb431b2bf4c315281e2701564b2c90fe,swept,
db/migrations/041_notification_delivery_recovery.sql,616,11,fdd6458ede311cf45b59718ceedd46fd3525a7f019b2333aa5ce6610af7cd76d,swept,
db/migrations/042_platform_operations_roles.sql,1201,24,24f8e0b50e8e286a95a462edc807dc7fa862502ff8a11f63bd12ab98d8db5deb,swept,
db/migrations/043_fix_auth_user_upsert_ambiguity.sql,2083,60,18f577f4c3978cecfc131ecb0772763ccf5cfdd63da498adc91e9bdc05ac559c,swept,
db/migrations/044_payment_sources_and_claims.sql,2961,66,53c5b652e38726d269b67689698f6b78f4e68e15883a0513d4c018cee1f24204,swept,
db/migrations/045_trade_line_mandate_integrity.sql,1846,59,7abaeb447ebd6a3eb33bfcc2d474292d697d6fd7e97764e589cf0d580d484bab,swept,
db/migrations/046_trade_line_drawdown_lifecycle.sql,7338,136,8cf25dd700c33c9dec791e682fd3a1846b2a68bacc62dcffdfdffc5f7bfef962,swept,
db/migrations/047_supplier_onboarding_readiness.sql,7888,145,3dc5e5e7d31be673f8cc0bb8272e7b6e93b169e1e379bdf4bbeb8b3ec5507d79,swept,
db/migrations/048_user_control_and_privacy.sql,10939,182,79e5045f79a1056752bab49058791a6a1b0bbadc51efa61bffefc3439c36ea10,swept,
db/migrations/049_operations_controls.sql,7138,123,25cc20fe3450280ccf6245c13a24be19b4fe4fbc373947eb0cdf0abf67276450,swept,
db/migrations/050_product_analytics.sql,23749,349,728eb6570142cbb05851c20a3be9cae1aaa8e15b99b168149a304d8a2c3f326a,swept,
db/migrations/051_analytics_contract_completion.sql,10080,137,78cb60739a5e7dc56491b47bd96458d9ae9779ff352dd232f1a545bb88350615,swept,
db/migrations/052_sweep_collection_safety.sql,7669,107,3399631bf286977b7e506d5f257db4aba3f1ecf034371e9e6ac2431dcb8c20b5,swept,A2-006
db/migrations/053_payment_reversal_integrity.sql,2293,33,8b7fbfe48330132b8bef08b110a8fc8afad539af4512ff3eefc4ebdcc9cc1fb5,swept,
db/migrations/054_collection_eligibility_lock.sql,5622,53,13181a8d7c490fb154b035d9ee7b2a3f85d7732f3e129bca44e8d55d088c9286,swept,
db/migrations/055_durable_financial_notices.sql,5114,67,ab6783eddf06fd3d02dd26c35ae12cfc4ad314720760bdae3946545d4401f2e8,swept,
db/migrations/056_financial_reconciliation.sql,4564,55,45c71c9456f9a257c40bfa05a18ca565eab6d1652a164679d5a88588956d5b57,swept,A2-006
db/migrations/057_collection_notice_delivery.sql,2801,39,b91974a3889c2f7354de7b989a0a9e05554fac3b53d33e21f0a580c51242e63e,swept,
db/migrations/058_operations_intent_integrity.sql,556,8,396af2de10e84d14036fff0a24409619bd0a0c0d0b4bec076c24a8b1eec5563a,swept,
db/migrations/059_adjustment_notification_evidence.sql,7797,105,d3449759f1e8acce94da46016b2ab495655dfa8c50b594f47b3049ad44288eac,swept,
db/migrations/060_provider_reversal_review.sql,866,14,26e84c100cca5f7d1d81a76c681bfeb14e725a2250672550363b007b10d2960f,swept,
db/migrations/061_business_policies.sql,5318,67,07e51b89cbfba59cbdd56606a655dc51d09748ebd91a8ca3b0eb6229c364a8e6,swept,
db/migrations/062_policy_enforcement_and_fee_terms.sql,7957,111,1013866f1ef436761fd058481d7c95827e875c7c8172ea4165326bdff7df4a60,swept,
db/migrations/063_preserve_existing_commitments.sql,9640,127,6b052f4437b2fee3014f5d900550ff90cd277dfe2189841270cab22aa7889527,swept,
db/migrations/064_admin_workflows.sql,12220,123,2427a5778ba91466b0ce01f645ab0a19ee7530cc430cb5a3623d1b3e16fb05d0,swept,
db/migrations/065_admin_attention_details.sql,1653,15,630f3ae5e93948b255f78e5e6fc92e501ca01b2c31aaf2ebf71b056404bf3888,swept,
db/migrations/066_admin_support_review_queue.sql,2809,18,79a816edf74c6050e1d4ead567cf4deeef9d09fd643f34832332b7b6db3798ec,swept,
db/migrations/067_canonical_phone_identifiers.sql,2757,83,bc3e7ae023aca19c1762461d54ebf20ee0b8278fc0454c1c110abd81752138c2,swept,
db/migrations/068_session_idle_and_mfa_throttle.sql,4554,129,685a962f570760a5a836711a773559e981d3857e9f312ea5f88c5ecead6f0413,swept,
db/migrations/069_shared_authentication_rate_limits.sql,3147,88,13e5e827b30d2d48a27d10be935ade682a360fbfdbf3e7cb77f6bec70b97d9f0,swept,
db/migrations/070_deemed_acceptance_evidence.sql,3782,94,bf45cb8b6de89046f8658cba87d2af8dbc6fae24854f40d7e20c54fc305c6a6a,swept,
db/migrations/071_audit_financial_integrity.sql,2785,51,c195aaf7d1f3e833d3b4ea81ecdd6ef06ed60a41c76553bfa15940f0c358ad54,swept,
db/migrations/072_repair_audit_legacy_state.sql,1641,30,776d60b5009a98f40fc3886d99874a82f369841dabed41c977665e58dbf99341,swept,
db/migrations/073_audit_security_invariants.sql,6465,178,a648e39bc9cd830f91d9e2c31ba10438734029f05ecf8306c768e811c47f944f,swept,
db/migrations/074_mfa_replay_and_rotation.sql,319,10,9451794b94a533006e621f44888c417c02330c4101e5dfec81bdfd0f59e15835,swept,
db/migrations/075_document_upload_lifecycle.sql,1019,29,8ee47a595c37a73a9a0afcef6d9696dfdbafe650d29e7b061562e4f9b06a2bb3,swept,
db/migrations/076_buyer_notice_acknowledgement.sql,4816,96,184b78c365f3f200b53301bde00a0a2f6c0be929baac7afa00c226b1b1c77de4,swept,
db/migrations/077_document_tenant_rls.sql,992,23,9dabd33b8eb84fb0f4dc8c671bc771a66f8660f30a574d77176ffe44daf2efd2,swept,
db/migrations/078_runtime_role_idempotency.sql,1908,57,ba28de59d425d7342bcb39f40e60177e6d0e637a9935ce1af5b0137d5ae441c9,swept,
db/migrations/079_notice_acknowledgement_permissions.sql,1227,28,91aa84f224f0ef5b0e524bcf5f2f25754f6c768e36f441b3bb08695a7b3bf13d,swept,
db/migrations/080_collected_payment_reversal_provenance.sql,3593,94,bb3d7574bfd4396987ba0b9158190c01f620c0f27a7ef3953c7511420681df60,swept,
db/migrations/081_phase2_tenant_isolation.sql,13671,304,ca60d70749b92b8704ada686543776d2f7f8144575b51f6b18603cad32e66327,swept,
db/migrations/082_phase2_collection_tenant_isolation.sql,3137,64,722ad0833605d72b7f7a23a618259dd790b79502c95765b8affa0e0cec474568,swept,
db/migrations/083_phase2_buyer_evidence_guard.sql,2383,52,923673772785a26a8358caa1115e47e2c2e93d2b304a8162237bec7a3c3cb8d3,swept,
db/migrations/084_phase2_collection_worker_boundaries.sql,6197,162,fcfc8ff134cce6b757d3d7b0b80d87ddeb22d69dfb7629b5817356b22755cb9d,swept,
db/migrations/085_phase2_provider_collection_identity.sql,963,25,b69592a633ab6dd67396a5b750fc4fa2ccf96d8fdca2eeb2916a11fe09592e77,swept,
db/migrations/086_phase5_financial_monitoring.sql,3391,49,252e4e348c194baf2348eee26805fd8fa0be1a8dbcb7138f9e69449639431e73,swept,
db/migrations/087_owner_super_admin_controls.sql,13256,245,3cbd985dd14072b2377bcbe809314103bb0ca0192b8bbb19772516b22eb34d41,swept,
db/migrations/088_settings_history_immutable.sql,1084,30,3792fd05f70f98b25d48505c944e550a16604afc616367a185f68d4ddba89bef,swept,
db/migrations/089_owner_lifecycle_guard.sql,3774,86,04790a57c28a2e3cf489f61c026b1f6139e945e5a23b304734584c1a26e4a0cb,swept,
db/migrations/090_governance_fail_closed.sql,511,16,e702049a6f382d97457ce709077b535b1992501eb38be07d736ad5c9214e73d7,swept,
db/migrations/091_retire_unread_platform_settings.sql,3309,60,8d601ec0c6d2507f8decff10b984aa0aab31ccbec5c5586108492fa3cade9420,swept,
db/migrations/092_public_payment_receipt.sql,994,25,34769aec5b87a06858e5e94961045cc69d2febd28b5f5121298f317686050a71,swept,
db/migrations/093_admin_notification_connectors.sql,740,16,64ddd379edf15b3f26fde2dd3f055f95d0e40e510457ef9333edeff6e46805ff,swept,
db/migrations/094_admin_runtime_connections.sql,660,12,25a0ec901115d9647778eb1859fe5b1b5f788e808e8b492a868203516db7816e,swept,
db/migrations/095_delivery_issue_blocks_deemed_acceptance.sql,1078,27,7a05b22652b7f5be545290b7e158054b3bc293d8b155bf72f4ecc07a96989229,swept,
db/migrations/096_close_legacy_tenant_bypasses.sql,1045,20,a6052da41b070048c8506b985ff6fc16af5676eddc8f0a9b8e6c8ea41c214fb7,swept,
db/migrations/097_collection_notice_versions.sql,2332,42,a0e659625377005d3273998ae5f8fed41d91aa40c37b8c6ce06ade389eade5e5,swept,
db/migrations/098_provider_webhook_claims.sql,1126,27,0d0ad37d9e561fa5be1e0740f09e6ee2bd7b1dde6908bf033c9416400e96b601,swept,
db/migrations/099_notification_send_identity.sql,671,13,86686448206f0aacc64645814fb0967d85dd2ec83812831db9d9589c9af4d91a,swept,
db/migrations/100_preserve_agreement_bytes.sql,645,13,fe39e7589147e6e8b9256a6e8f536c39ae2fda8cea7ddc42814fa1ed6c15d9f5,swept,
db/migrations/101_owner_website_content.sql,926,18,15b8cd6fd24150e69ce84a390b279a72cf4aa314f700e32e85d405189115bd96,swept,
db/migrations/102_relationship_consent_evidence.sql,2055,44,70525dd1c7acd18490a053f347dc0d893353c9a3d4dd86759a1ba4b35be0f0b0,swept,
db/migrations/103_solo_owner_privacy_completion.sql,1995,40,c94c44cb7e94d973565465c51832e55cffa61e8bc54fb0a72fe075742ee9e181,swept,
db/migrations/104_versioned_legal_publications.sql,1924,38,fc86be847fcb718bb336c9b72d7b1e3811a09571748c31f7042fcf8e2cf5b54b,swept,
db/migrations/105_buyer_supplier_directory.sql,1422,30,789f5482bb20f789487c5cac4a6fc9871ef1098d2dee5495c51fdd6221281d18,swept,
db/migrations/106_consent_relationship_scope.sql,2059,42,b09abc3450a20d7236adc7c7968a7d96b7594a3c78bc7830327c3618f29c2a8e,swept,
db/migrations/107_notification_intent_fingerprint.sql,1015,25,f4f91105c6f7e74e4ec6f43696fe896c93ce9f7ca0238a24846513ef9182abbb,swept,
db/migrations/108_admin_document_scan_recovery.sql,1200,19,53ec98a8de729ca7477c8c9080fba4e92434a65c07f84b0b5c18642c67506a1b,swept,
db/migrations/109_guide_and_contact_publication.sql,965,17,8929e6cc8c23440ed365adf3749d91a2a2924d9c6b475f73040ef858c2acba09,swept,
db/migrations/110_notification_recipient_scope.sql,2261,44,460d92f187168ecbe15d05f29cfc04a2764f4a1fc6f8e838245df448781a69ca,swept,
db/migrations/111_team_invitation_lifecycle.sql,1464,32,fb78d1ef65f1cfd2c78cdf537599a5aa62f3b40065a4ded1b183a6551e2c78b1,swept,
db/migrations/112_system_acceptance_evidence.sql,6034,104,91b4e5f2e22372396d3337ab77377da3654d90df09818138142b84e02864a59a,swept,
db/migrations/113_document_orphan_recovery.sql,1015,21,fb75c84c3c962a4d905d099a5ac3597b71fa63c66b243b793eb56fbc3a4e9331,swept,
db/migrations/114_system_acceptance_admin_controls.sql,1669,26,3f6d5627b6eb752e019b002cc0f9d5674e7d035063459cb84cdd1926e1cc5e28,swept,
db/migrations/115_atomic_domain_activity.sql,5494,72,34b0b3feb8ed159ee2fb1375a6ee0418dc995d99ea0064bcae3152488a358837,swept,
db/migrations/116_system_acceptance_settings_access.sql,1074,20,90572fdd4cf13c1d1ec1d5162508bdb1a508043ac5dffc8d04de10eeadc627f0,swept,
db/migrations/117_customer_registration_recovery.sql,2437,35,9824bbd6978085d92517365b756d3f71fa195bb062f69c3293136d388987e1bd,swept,
db/migrations/118_notification_delivery_lookup.sql,479,7,6a6b3fe45c499066d33ef63168984f6ee0db40d462d7356959b4ab09e49b44e5,swept,
db/migrations/119_launch_financial_boundaries.sql,8048,98,8500a2f69cad81594a8728a1a583931fc814d4e5fd166e499e92eba6a6b53c32,swept,
db/migrations/120_admin_read_projections.sql,7275,48,ec1b128cf0195f8cf2eced4b864a1220a4f5bf89f090579e95cf227949dad057,swept,
db/migrations/121_drawdown_expiry_discovery.sql,1121,18,104b055495def648595a6c3ab751c715ffa35a686f730f8e8ee28759c859c91b,swept,
db/migrations/122_scorecard_projections.sql,15311,94,52aae0af82820c9bf7c998817f87612e1985ba753f5aa328b23df8a2a1cff01d,swept,
db/migrations/123_invoice_and_mandate_evidence.sql,3209,42,4c99155dfd4fa2cba3ac8d8c278fddf01a7f3017b615c2ed0812fd2ff0a3f5f9,swept,
db/migrations/124_recovery_account_lookup.sql,867,16,c96190ea1d62a6b3bcc48761ad415a92eed37897eadb5dac06352b418ef2ab33,swept,
db/migrations/125_buyer_verification_intents.sql,2859,32,1ad4bb9979c93b8b082f7157edeb8652f47625ad7f8df1711e503d3b9bca3093,swept,
db/migrations/126_mandate_authorization_intents.sql,2474,27,0d766063650c58a9adb4a5204c5d29f6e454f3964e1848afa25ea12a21514cb6,swept,
db/migrations/127_dispute_document_evidence.sql,1920,22,3c5d539c9c380c7fad0de4173721f596a5851a3390eeabbcacdd28592157bb30,swept,
db/migrations/128_billing_verification_required.sql,788,13,dd0b005cbe985fe1c2a275d89fed990539419d945fd5fb3d0f2a2087709f80a5,swept,
db/migrations/129_provider_operations_projection.sql,2718,25,250dca24d73119bb1067c9e6fb8bb6a1bfdc768281c23ff1b997987ae81ba6be,swept,
db/migrations/130_native_message_submissions.sql,3800,37,29d28b8303a10d3cd0f56e8c5a0efc09f9989ad906d3a028e8942c73c1c464a8,swept,
db/migrations/131_notification_provider_routes.sql,1089,19,4645cc1363cb939f41869d75eab6da2a2d147b9db0245977033e7ae9b7fc6736,swept,
db/migrations/132_runtime_process_status.sql,1583,19,62a9cbcee645f14f2e3905f09686df735bf2c7dcbf45515da6515aec73ea5778,swept,
