route,source,audience,desktop_guest,mobile_guest,authenticated_populated,exception_states
/admin/mono,web/src/routes/admin/mono/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/organizations,web/src/routes/admin/organizations/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/platform-settings,web/src/routes/admin/platform-settings/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/privacy,web/src/routes/admin/privacy/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/provider-events,web/src/routes/admin/provider-events/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/reconciliation,web/src/routes/admin/reconciliation/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/recovery,web/src/routes/admin/recovery/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/search,web/src/routes/admin/search/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/settings,web/src/routes/admin/settings/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/team,web/src/routes/admin/team/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/admin/users,web/src/routes/admin/users/+page.svelte,owner,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app,web/src/routes/app/+page.svelte,public,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/activity,web/src/routes/app/activity/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/collections,web/src/routes/app/collections/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/credit,web/src/routes/app/credit/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/credit/[id],web/src/routes/app/credit/[id]/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/credit/new,web/src/routes/app/credit/new/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/credit/quick,web/src/routes/app/credit/quick/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/customers,web/src/routes/app/customers/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/customers/[id],web/src/routes/app/customers/[id]/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/customers/new,web/src/routes/app/customers/new/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/disputes,web/src/routes/app/disputes/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/disputes/[id],web/src/routes/app/disputes/[id]/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/help,web/src/routes/app/help/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/notifications,web/src/routes/app/notifications/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/onboarding,web/src/routes/app/onboarding/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/overdue,web/src/routes/app/overdue/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/overview,web/src/routes/app/overview/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/payments,web/src/routes/app/payments/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/reports,web/src/routes/app/reports/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/search,web/src/routes/app/search/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings,web/src/routes/app/settings/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/billing,web/src/routes/app/settings/billing/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/credit-policy,web/src/routes/app/settings/credit-policy/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/data,web/src/routes/app/settings/data/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/notifications,web/src/routes/app/settings/notifications/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/privacy,web/src/routes/app/settings/privacy/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/security,web/src/routes/app/settings/security/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/settings/settlement,web/src/routes/app/settings/settlement/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/team,web/src/routes/app/team/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/trade-lines,web/src/routes/app/trade-lines/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/app/trade-lines/[id],web/src/routes/app/trade-lines/[id]/+page.svelte,supplier,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/blog,web/src/routes/blog/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/blog/[slug],web/src/routes/blog/[slug]/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/blog/topic/[topic],web/src/routes/blog/topic/[topic]/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer,web/src/routes/buyer/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/amendments,web/src/routes/buyer/amendments/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/credit-requests/[requestID],web/src/routes/buyer/credit-requests/[requestID]/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/disputes,web/src/routes/buyer/disputes/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/disputes/[id],web/src/routes/buyer/disputes/[id]/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/history,web/src/routes/buyer/history/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/mandates,web/src/routes/buyer/mandates/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/notifications,web/src/routes/buyer/notifications/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/obligations,web/src/routes/buyer/obligations/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/obligations/[id],web/src/routes/buyer/obligations/[id]/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/payments,web/src/routes/buyer/payments/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/permissions,web/src/routes/buyer/permissions/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/requests,web/src/routes/buyer/requests/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/settings,web/src/routes/buyer/settings/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer/trade-lines,web/src/routes/buyer/trade-lines/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/buyer-invitations/[token],web/src/routes/buyer-invitations/[token]/+page.svelte,buyer,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/c/[token],web/src/routes/c/[token]/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/demo,web/src/routes/demo/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/faq,web/src/routes/faq/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/for-buyers,web/src/routes/for-buyers/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/for-suppliers,web/src/routes/for-suppliers/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/glossary,web/src/routes/glossary/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/how-it-works,web/src/routes/how-it-works/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/legal/complaints,web/src/routes/legal/complaints/+page.svelte,public,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED,UNVERIFIED
/legal/privacy,web/src/routes/legal/privacy/+page.svelte,public,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED,UNVERIFIED
/legal/terms,web/src/routes/legal/terms/+page.svelte,public,VERIFIED_LOCAL,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED
/pay/[token],web/src/routes/pay/[token]/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/pricing,web/src/routes/pricing/+page.svelte,public,VERIFIED_LOCAL,UNVERIFIED,UNVERIFIED,UNVERIFIED
/receipt/[public_token],web/src/routes/receipt/[public_token]/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/recover,web/src/routes/recover/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/secure,web/src/routes/secure/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
/security,web/src/routes/security/+page.svelte,public,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED
